image_name,astrocyte,area,perimeter,num_projections,avg_projection_length,max_projection_length,circularity,neighbors,length_width_ratio,fractal_dim,total_branch_length,avg_branch_length,max_branch_length,num_nodes,num_edges,avg_euclidean_dist,mask
r02c08f04p01-ch1sk1fk1fl1.tiff,88,140,66.76955199241638,0,0.0,0.0,0.3946217109782736,1,1.2,0.0,14.656854249492381,3.6642135623730954,9.82842712474619,5,4,3.3655462861030436,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,89,31,19.899494767189026,0,0.0,0.0,0.983756143592621,1,1.1666666666666667,0.0,0.0,0.0,0.0,0,0,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,90,28,18.485281229019165,0,0.0,0.0,1.0297119930987968,0,1.1666666666666667,0.0,0.0,0.0,0.0,0,0,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,91,45,23.899494767189026,0,0.0,0.0,0.9900222099698957,2,1.2857142857142858,0.0,0.0,0.0,0.0,0,0,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,92,199,94.32590067386627,2,7.431980460882187,8.949747383594513,0.28106127942954756,0,1.2,1.1217969778301813,22.48528137423857,7.495093791412857,12.071067811865476,5,3,6.8341880857363675,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,93,45,32.627416491508484,0,0.0,0.0,0.531198700871899,0,1.2222222222222223,0.0,9.071067811865476,9.071067811865476,9.071067811865476,2,1,8.602325267042627,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,94,60,36.38477599620819,0,0.0,0.0,0.5695366853536147,0,2.142857142857143,0.0,10.242640687119286,10.242640687119286,10.242640687119286,2,1,9.055385138137417,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,95,84,61.25483310222626,2,0.0,0.0,0.2813250652539664,0,1.1666666666666667,0.9580552724160681,9.82842712474619,3.2761423749153966,5.414213562373095,5,3,2.9027346441664563,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,96,77,41.79898929595947,0,0.0,0.0,0.5538205007465299,0,1.4545454545454546,0.0,13.485281374238571,13.485281374238571,13.485281374238571,2,1,12.529964086141668,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,97,74,33.79898941516876,0,0.0,0.0,0.8140182720533766,3,1.625,0.0,9.242640687119286,9.242640687119286,9.242640687119286,2,1,8.06225774829855,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,98,76,30.727921843528748,0,0.0,0.0,1.0114794814616985,3,1.0,0.0,0.0,0.0,0.0,0,0,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,99,36,20.485281229019165,0,0.0,0.0,1.0780241841894418,3,1.0,0.0,0.0,0.0,0.0,0,0,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,100,122,104.71067667007446,2,2.603553384542465,2.7071067690849304,0.1398259447685011,0,1.0,1.0504499938739116,23.31370849898476,7.771236166328253,11.656854249492381,5,3,6.923443204756336,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,101,82,61.012192606925964,0,0.0,0.0,0.27681552987547486,3,1.0833333333333333,0.0,12.65685424949238,3.164213562373095,5.82842712474619,6,4,2.760504764156721,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,102,37,21.899494767189026,0,0.0,0.0,0.9694901409942532,0,1.1428571428571428,0.0,0.0,0.0,0.0,0,0,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,103,25,16.485281109809875,0,0.0,0.0,1.1559982011612189,0,1.4,0.0,0.0,0.0,0.0,0,0,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,104,26,16.485281229019165,0,0.0,0.0,1.202238111820284,0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,105,116,49.69848394393921,0,0.0,0.0,0.5901760369302276,1,1.1428571428571428,0.0,13.071067811865476,13.071067811865476,13.071067811865476,2,1,11.661903789690601,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,106,37,20.485281229019165,0,0.0,0.0,1.1079693004169264,1,1.3333333333333333,0.0,0.0,0.0,0.0,0,0,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,107,251,107.63960909843445,2,2.267766922712326,4.535533845424652,0.2722321177628102,1,1.3181818181818181,0.9870055690339588,25.72792206135786,8.57597402045262,15.656854249492381,5,3,7.936749891968884,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,108,110,53.35533845424652,0,0.0,0.0,0.4855643471105459,1,1.5,0.0,8.65685424949238,8.65685424949238,8.65685424949238,2,1,8.06225774829855,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,109,29,18.485281229019165,0,0.0,0.0,1.0664874214237539,0,1.1666666666666667,0.0,0.0,0.0,0.0,0,0,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c08f04p01-ch1sk1fk1fl1.tiff,110,27,16.485281229019165,0,0.0,0.0,1.2484780391979873,1,1.0,0.0,0.0,0.0,0.0,0,0,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
