num_branches,branch_lengths,skeleton_length,most_branches,analyzed,average_roundness,average_area,a_ratio,average_perimeter,largest_perimeter,thickness,branch_density,average_branches,average_circularity,roundness_variance,average_fractal_dim,average_num_projections,num_neighbors,proj_length,most_neighbors,most_projections,image_filename
18.207,18.207,226.288,38,35,8.431,1960.314,0.228,427.968,1235.3250237703323,8.663,0.055,12.429,0.165,23.223,0.681,4.914,1.429,105.389,3,15,r02c06f01p01-ch2sk1fk1fl1.tiff
17.211,17.211,211.066,55,38,7.410,1859.737,0.196,386.148,1160.5138399600985,8.811,0.058,12.263,0.204,28.202,0.606,4.868,1.526,103.411,6,17,r02c07f08p01-ch2sk1fk1fl1.tiff
16.095,16.095,299.501,99,23,8.869,2539.870,0.161,502.711,2409.4195976257324,8.480,0.062,18.609,0.145,33.236,0.696,6.174,0.957,119.479,3,41,r02c07f02p01-ch2sk1fk1fl1.tiff
22.579,22.579,312.684,87,33,9.454,3109.121,0.126,578.652,3600.9384948015213,9.943,0.044,13.848,0.184,68.133,0.814,5.758,1.212,132.673,4,34,r02c06f06p01-ch2sk1fk1fl1.tiff
17.241,17.241,235.626,84,33,8.194,1919.394,0.132,423.559,2544.248024582863,8.146,0.058,13.667,0.176,40.739,0.782,5.182,0.818,90.434,5,30,r02c06f03p01-ch2sk1fk1fl1.tiff
