num_branches,branch_lengths,skeleton_length,most_branches,analyzed,average_roundness,average_area,a_ratio,average_perimeter,largest_perimeter,thickness,branch_density,average_branches,average_circularity,roundness_variance,average_fractal_dim,average_num_projections,num_neighbors,proj_length,most_neighbors,most_projections,image_filename
18.547,18.547,149.384,53,55,6.325,1270.200,0.092,288.521,1659.398177742958,8.503,0.054,8.055,0.399,19.960,0.702,3.182,1.364,63.010,5,24,r04c09f05p01-ch2sk1fk1fl1.tiff
15.755,15.755,87.238,39,54,4.702,702.759,0.156,188.661,1102.0113149881363,8.056,0.063,5.537,0.489,13.720,0.440,1.833,0.722,30.163,2,13,r05c08f08p01-ch2sk1fk1fl1.tiff
17.996,17.996,146.168,36,49,6.380,1149.388,0.169,279.296,1234.5138401985168,7.863,0.056,8.122,0.323,22.960,0.336,2.429,0.816,51.237,5,13,r03c09f04p01-ch2sk1fk1fl1.tiff
15.730,15.730,142.669,53,43,6.170,1101.233,0.122,277.233,1618.3931292295456,7.719,0.064,9.070,0.385,22.230,0.464,2.930,0.628,58.337,2,21,r04c08f03p01-ch2sk1fk1fl1.tiff
18.455,18.455,136.484,36,43,6.071,1117.488,0.156,280.076,1727.9839644432068,8.188,0.054,7.395,0.402,41.044,0.557,2.581,1.116,56.688,6,14,r02c08f04p01-ch2sk1fk1fl1.tiff
