num_branches,branch_lengths,skeleton_length,most_branches,analyzed,average_roundness,average_area,a_ratio,average_perimeter,largest_perimeter,thickness,branch_density,average_branches,average_circularity,roundness_variance,average_fractal_dim,average_num_projections,num_neighbors,proj_length,most_neighbors,most_projections,image_filename
19.296,19.296,176.133,41,39,9.003,1226.026,0.154,350.438,1335.3666542768478,6.961,0.052,9.128,0.226,33.223,0.718,3.615,0.513,85.581,2,18,r07c02f07p01-ch2sk1fk1fl1.tiff
18.252,18.252,196.350,51,33,8.894,1414.364,0.182,383.329,1862.701783299446,7.203,0.055,10.758,0.308,75.597,0.496,3.697,0.242,81.273,1,17,r05c02f04p01-ch2sk1fk1fl1.tiff
17.818,17.818,139.378,35,45,7.293,965.267,0.210,281.117,891.7615340948105,6.926,0.056,7.822,0.442,21.018,0.769,3.067,0.756,60.291,4,13,r04c02f01p01-ch2sk1fk1fl1.tiff
19.460,19.460,175.140,34,37,8.412,1273.108,0.201,351.618,1288.2955864667892,7.269,0.051,9.000,0.259,30.875,0.742,3.324,0.541,80.964,2,11,r07c02f03p01-ch2sk1fk1fl1.tiff
22.257,22.257,169.493,57,39,7.895,1326.667,0.111,339.253,2765.502860307693,7.827,0.045,7.615,0.276,66.979,0.727,2.821,0.795,57.179,3,17,r06c02f05p01-ch2sk1fk1fl1.tiff
