object_label,num_nodes,num_branches,num_projections,branch_lengths,total_skeleton_length,area,fractal_dim,perimeter,circularity,roundness,projection_lengths,avg_projection_length,max_projection_length,neighbors,length_width_ratio,file_name
1,6,4,0,"[3.82842712474619, 2.0, 1.4142135623730951, 16.656854249492383]",23.899494936611667,175.0,0.0,72.76955187320709,0.4152871677643038,2.407972308375177,[],0.0,0.0,0,1.9230769230769231,r04c11f05p01-ch2sk1fk1fl1.tiff
2,40,27,9,"[19.55634918610405, 19.142135623730955, 10.485281374238571, 2.0, 14.485281374238571, 8.65685424949238, 4.0, 1.4142135623730951, 2.0, 11.071067811865476, 1.4142135623730951, 1.4142135623730951, 2.0, 14.485281374238571, 15.142135623730955, 17.48528137423857, 12.242640687119284, 30.07106781186548, 108.48528137423855, 11.242640687119286, 1.0, 5.0, 14.828427124746192, 12.071067811865476, 17.55634918610405, 9.828427124746192, 27.313708498984766]",394.3919189857867,3042.0,-1.0,678.0142802000046,0.08315557898762874,12.025651341430411,"[6.914213538169861, 8.949747383594513, 8.328427076339722, 9.328427076339722, 11.606601536273956, 7.949747383594513, 158.81980460882187, 7.156854152679443, 15.606601536273956]",26.073380476898617,158.81980460882187,1,3.057142857142857,r04c11f05p01-ch2sk1fk1fl1.tiff
3,40,27,10,"[24.89949493661167, 13.656854249492381, 9.242640687119286, 2.0, 1.4142135623730951, 8.65685424949238, 16.242640687119284, 6.242640687119285, 21.82842712474619, 2.8284271247461903, 26.07106781186548, 7.0, 12.414213562373096, 32.14213562373095, 14.899494936611667, 15.0, 10.65685424949238, 9.071067811865476, 1.4142135623730951, 2.0, 30.899494936611667, 11.65685424949238, 14.656854249492381, 8.0, 3.414213562373095, 12.82842712474619, 24.242640687119287]",343.37972567696687,3404.0,-1.0,633.1269778013229,0.10671310992435339,9.37091984957498,"[10.121320307254791, 5.5, 8.535533845424652, 5.949747383594513, 11.571067690849304, 29.435028612613678, 4.5, 5.7426406145095825, 6.328427076339722, 10.535533845424652]",9.82192993760109,29.435028612613678,2,1.063063063063063,r04c11f05p01-ch2sk1fk1fl1.tiff
4,0,0,0,[],0.0,6.0,0.0,6.2426406145095825,1.9347481822815686,0.5168631293508912,[],0.0,0.0,1,1.0,r04c11f05p01-ch2sk1fk1fl1.tiff
5,37,26,6,"[53.870057685088796, 2.0, 1.4142135623730951, 46.35533905932736, 24.313708498984763, 249.2081528017135, 2.0, 1.4142135623730951, 4.414213562373095, 2.0, 1.4142135623730951, 17.899494936611667, 37.55634918610404, 18.72792206135786, 11.485281374238571, 22.48528137423857, 19.242640687119284, 4.414213562373095, 2.0, 1.4142135623730951, 18.142135623730955, 10.65685424949238, 2.0, 1.4142135623730951, 8.65685424949238, 15.071067811865477]",579.5706345359775,5046.0,-1.0,1173.952438235283,0.0460104102731429,21.73421175910961,"[7.7426406145095825, 19.571067690849304, 8.571067690849304, 34.43502861261368, 47.541630148887634, 99.43250244855881]",36.215656201044716,99.43250244855881,3,1.3776824034334765,r04c11f05p01-ch2sk1fk1fl1.tiff
6,30,23,2,"[8.242640687119286, 2.0, 1.4142135623730951, 8.071067811865476, 2.0, 1.4142135623730951, 3.414213562373095, 10.242640687119286, 1.4142135623730951, 2.0, 4.0, 2.0, 1.4142135623730951, 15.071067811865477, 1.4142135623730951, 2.0, 18.899494936611667, 16.414213562373096, 2.0, 13.485281374238573, 2.0, 1.4142135623730951, 16.485281374238575]",136.81118318204307,677.0,1.411600321754736,240.10764503479004,0.14756608529411555,6.776624845789527,"[17.692387998104095, 7.328427076339722]",12.510407537221909,17.692387998104095,0,1.5945945945945945,r04c11f05p01-ch2sk1fk1fl1.tiff
7,0,0,0,[],0.0,2.0,0.0,2.0,6.283185307179586,0.15915494309189535,[],0.0,0.0,2,2.0,r04c11f05p01-ch2sk1fk1fl1.tiff
8,0,0,0,[],0.0,14.0,0.0,14.485281109809875,0.838463273094176,1.1926580830543787,[],0.0,0.0,2,1.2,r04c11f05p01-ch2sk1fk1fl1.tiff
9,0,0,0,[],0.0,8.0,0.0,8.828427076339722,1.2898321056606892,0.7752947035597096,[],0.0,0.0,1,1.3333333333333333,r04c11f05p01-ch2sk1fk1fl1.tiff
10,31,22,7,"[29.970562748477146, 11.656854249492381, 1.4142135623730951, 2.0, 15.071067811865477, 7.0, 10.242640687119284, 15.414213562373096, 9.485281374238571, 2.0, 3.0, 10.071067811865476, 2.0, 1.4142135623730951, 2.414213562373095, 28.48528137423857, 1.0, 9.65685424949238, 20.899494936611667, 2.0, 1.4142135623730951, 3.414213562373095]",190.02438661763952,1571.0,1.5468474836168675,403.1025927066803,0.12149400987969067,8.230858467756963,"[6.949747383594513, 25.985281229019165, 0.5, 6.363960921764374, 7.535533845424652, 25.520815074443817, 26.84924215078354]",14.243511515004295,26.84924215078354,2,1.1692307692307693,r04c11f05p01-ch2sk1fk1fl1.tiff
11,30,21,5,"[9.656854249492381, 11.65685424949238, 7.82842712474619, 15.82842712474619, 25.07106781186548, 2.414213562373095, 17.242640687119287, 2.0, 1.4142135623730951, 7.82842712474619, 2.0, 1.4142135623730951, 5.414213562373095, 2.0, 1.4142135623730951, 6.0, 8.242640687119284, 8.414213562373096, 17.65685424949238, 1.0, 1.0]",155.49747468305833,916.0,1.4261567181004395,343.2619731426239,0.09769086353325286,10.236371793966294,"[12.328427076339722, 14.742640614509583, 13.328427076339722, 5.328427076339722, 6.535533845424652]",10.45269113779068,14.742640614509583,2,1.1627906976744187,r04c11f05p01-ch2sk1fk1fl1.tiff
12,0,0,0,[],0.0,1.0,0.0,0.0,0.0,0.0,[],0.0,0.0,2,1.0,r04c11f05p01-ch2sk1fk1fl1.tiff
13,20,16,1,"[7.82842712474619, 33.798989873223334, 12.656854249492381, 5.82842712474619, 2.0, 1.4142135623730951, 65.8700576850888, 7.414213562373095, 2.0, 1.4142135623730951, 1.0, 5.414213562373095, 20.071067811865476, 65.59797974644663, 2.0, 1.4142135623730951]",235.7228714274745,1298.0,1.4897617827721072,230.3502858877182,0.30740225237285923,3.253066600133639,[5.121320307254791],5.121320307254791,5.121320307254791,0,1.1403508771929824,r04c11f05p01-ch2sk1fk1fl1.tiff
14,20,16,1,"[2.0, 1.4142135623730951, 24.72792206135786, 2.414213562373095, 2.0, 1.4142135623730951, 10.242640687119286, 25.65685424949238, 16.656854249492383, 1.4142135623730951, 2.0, 14.071067811865477, 33.798989873223334, 2.0, 1.4142135623730951, 15.727922061357859]",156.95331880577407,855.0,1.4517210465366055,290.29140996932983,0.12749924386016334,7.843183768970148,[11.156854152679443],11.156854152679443,11.156854152679443,0,1.4615384615384615,r04c11f05p01-ch2sk1fk1fl1.tiff
15,8,5,2,"[8.82842712474619, 14.0, 1.0, 22.485281374238575, 9.071067811865476]",55.38477631085024,277.0,1.1864426453373462,148.95331740379333,0.15688783612744692,6.373980447965742,"[19.985281229019165, 19.535533845424652]",19.76040753722191,19.985281229019165,1,1.7,r04c11f05p01-ch2sk1fk1fl1.tiff
16,6,4,0,"[7.656854249492381, 1.4142135623730951, 2.0, 28.313708498984763]",39.38477631085024,210.0,0.0,119.29646277427673,0.1854274497390074,5.392944795430874,[],0.0,0.0,0,1.2380952380952381,r04c11f05p01-ch2sk1fk1fl1.tiff
17,0,0,0,[],0.0,13.0,0.0,10.242640614509583,1.557146043829194,0.6422005206017091,[],0.0,0.0,1,1.0,r04c11f05p01-ch2sk1fk1fl1.tiff
18,6,4,1,"[16.242640687119284, 2.414213562373095, 1.0, 31.72792206135786]",51.38477631085024,281.0,1.202010365112149,156.26702547073364,0.1446043950643772,6.915419130620509,[14.535533845424652],14.535533845424652,14.535533845424652,0,2.0526315789473686,r04c11f05p01-ch2sk1fk1fl1.tiff
19,0,0,0,[],0.0,12.0,0.0,14.485281109809875,0.7186828055092938,1.3914344302301085,[],0.0,0.0,1,1.0,r04c11f05p01-ch2sk1fk1fl1.tiff
20,0,0,0,[],0.0,2.0,0.0,2.0,6.283185307179586,0.15915494309189535,[],0.0,0.0,1,2.0,r04c11f05p01-ch2sk1fk1fl1.tiff
21,73,50,17,"[9.828427124746192, 18.65685424949238, 19.142135623730955, 9.828427124746192, 22.72792206135786, 33.627416997969526, 1.0, 7.82842712474619, 8.0, 24.72792206135786, 7.65685424949238, 27.798989873223338, 26.970562748477146, 19.313708498984763, 33.89949493661167, 2.0, 1.4142135623730951, 6.82842712474619, 50.21320343559642, 4.0, 8.414213562373096, 27.313708498984766, 32.82842712474619, 19.72792206135786, 51.21320343559641, 15.656854249492381, 68.25483399593901, 15.485281374238573, 122.45584412271566, 2.414213562373095, 1.0, 9.071067811865476, 10.656854249492381, 2.0, 20.72792206135786, 28.55634918610405, 26.55634918610405, 2.0, 1.4142135623730951, 10.65685424949238, 23.07106781186548, 33.45584412271572, 1.4142135623730951, 2.0, 13.65685424949238, 12.414213562373096, 4.0, 4.0, 7.0, 12.65685424949238]",925.5361466505709,6118.0,-1.0,1755.7240773439407,0.02494059481161099,40.095274693867935,"[4.5, 1.5, 30.748736917972565, 20.156854152679443, 23.227921843528748, 7.328427076339722, 12.156854152679443, 1.5, 30.985281229019165, 16.192387998104095, 24.47056245803833, 77.2192993760109, 30.713203072547913, 6.914213538169861, 16.020815074443817, 15.949747383594513, 6.914213538169861]",19.205795165370493,77.2192993760109,0,1.5174418604651163,r04c11f05p01-ch2sk1fk1fl1.tiff
22,13,11,0,"[25.142135623730955, 2.0, 1.4142135623730951, 5.414213562373095, 2.0, 1.4142135623730951, 8.65685424949238, 12.414213562373096, 19.656854249492383, 1.4142135623730951, 2.0]",81.52691193458118,450.0,0.0,133.19595766067505,0.31874273026790106,3.1373264549735986,[],0.0,0.0,1,1.5769230769230769,r04c11f05p01-ch2sk1fk1fl1.tiff
23,29,21,9,"[7.82842712474619, 12.82842712474619, 2.0, 9.414213562373096, 59.727922061357845, 20.48528137423857, 25.414213562373096, 33.72792206135786, 2.0, 3.414213562373095, 60.48528137423857, 14.82842712474619, 2.414213562373095, 1.0, 29.798989873223338, 19.48528137423857, 9.65685424949238, 3.414213562373095, 2.0, 14.485281374238571, 11.828427124746192]",346.23759005323603,3384.0,1.5569129642752633,676.3818106651306,0.09295149483024605,10.758299280998804,"[11.363960921764374, 6.7426406145095825, 16.778174459934235, 1.2071067690849304, 22.91421353816986, 17.985281229019165, 6.914213538169861, 10.328427076339722, 5.328427076339722]",11.062493913703495,22.91421353816986,0,1.6534653465346534,r04c11f05p01-ch2sk1fk1fl1.tiff
24,0,0,0,[],0.0,15.0,0.0,11.41421353816986,1.4468021213147737,0.6911795229407428,[],0.0,0.0,1,1.0,r04c11f05p01-ch2sk1fk1fl1.tiff
25,19,13,4,"[11.071067811865477, 65.35533905932735, 15.899494936611669, 67.31370849898475, 14.828427124746192, 13.656854249492381, 10.82842712474619, 1.4142135623730951, 2.0, 23.798989873223338, 2.0, 1.4142135623730951, 10.071067811865476]",239.65180361560903,2248.0,1.5905426539556424,503.1442230939865,0.11158894961920524,8.961460820381207,"[36.248736917972565, 64.81370830535889, 12.363960921764374, 7.7426406145095825]",30.292261689901352,64.81370830535889,0,1.5952380952380953,r04c11f05p01-ch2sk1fk1fl1.tiff
26,2,1,0,[1.0],1.0,38.0,0.0,38.97056245803833,0.31442720319782136,3.1803863973272426,[],0.0,0.0,0,1.1,r04c11f05p01-ch2sk1fk1fl1.tiff
27,2,1,0,[73.55634918610403],73.55634918610403,655.0,0.0,194.1248903274536,0.21841814645129268,4.578374170128765,[],0.0,0.0,0,4.2631578947368425,r04c11f05p01-ch2sk1fk1fl1.tiff
28,12,8,3,"[20.485281374238575, 2.0, 1.4142135623730951, 37.798989873223334, 11.656854249492381, 3.8284271247461903, 43.14213562373095, 9.414213562373096]",129.74011537017762,1191.0,1.3643484341151795,277.07820785045624,0.19494714782107495,5.129595437414725,"[40.64213538169861, 8.949747383594513, 57.49137753248215]",35.69442009925842,57.49137753248215,0,1.5818181818181818,r04c11f05p01-ch2sk1fk1fl1.tiff
29,0,0,0,[],0.0,7.0,0.0,7.414213538169861,1.600212740722959,0.6249169092030918,[],0.0,0.0,0,2.0,r04c11f05p01-ch2sk1fk1fl1.tiff
